success,n_prior_ipos,n_prior_acquisitions,n_prior_exits,has_prior_ipo,has_prior_acquisition,has_any_prior_exit,has_multiple_exits,has_big_prior_ipo,has_well_known_acquirer,n_degrees,best_qs_ranking,has_top_10_qs,has_top_50_qs,has_top_200_qs,has_phd,has_mba,has_master,has_bachelor,has_cs_field,has_engineering_field,has_business_field,has_stem_field,n_jobs,total_career_years,n_unique_industries_worked,had_c_level_role,had_founder_role,had_leadership_role,had_senior_tech_role,max_company_size,worked_at_big_company,worked_at_huge_company,n_startup_jobs,industry_is_tech,industry_is_health,industry_is_finance,worked_in_target_industry,career_breadth,avg_job_duration,elite_education_x_leadership,serial_entrepreneur,technical_founder
1,0,0,0,0,0,0,0,0,0,1,6.0,1,1,1,0,0,0,1,1,0,0,1,8,7.5,4,1,1,0,1,15000,1,1,0,0,0,1,0,0.5,0.9375,1,0,1
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,0,0,0,1,3,6.0,2,0,1,1,0,15000,1,1,1,1,0,0,1,0.6666666666666666,2.0,0,0,0
1,0,0,0,0,0,0,0,0,0,2,1.0,1,1,1,0,1,0,1,0,0,1,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,11.0,0,1,1,0,0,0,1,0,0,1,0,4,5.5,1,0,0,1,0,15000,1,1,0,0,0,1,1,0.25,1.375,0,0,0
1,0,0,0,0,0,0,0,0,0,3,250.0,0,0,0,1,0,0,0,0,0,0,0,9,21.0,3,1,1,1,0,15000,1,1,2,0,0,0,1,0.3333333333333333,2.3333333333333335,0,0,0
1,0,0,0,0,0,0,0,0,0,2,250.0,0,0,0,0,0,0,1,0,0,0,0,10,27.5,3,1,0,1,1,750,0,0,0,1,0,0,1,0.3,2.75,0,0,0
1,1,0,1,1,0,1,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.25,0.0,0,1,0
1,0,0,0,0,0,0,0,0,0,2,250.0,0,0,0,0,1,0,1,0,0,1,0,4,15.5,4,1,0,0,0,15000,1,1,0,0,0,0,1,1.0,3.875,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,0,1,0,1,1,3,6.5,2,1,1,0,0,15000,1,1,1,1,0,0,0,0.6666666666666666,2.1666666666666665,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,0,0,0,1,0,3,3.0,2,0,1,1,0,15000,1,1,0,0,1,0,0,0.6666666666666666,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,1,0,1,0,0,1,1,15,32.0,1,1,1,0,1,15000,1,1,2,0,0,1,1,0.06666666666666667,2.1333333333333333,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,1,0,0,0,0,0,3,9.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0.3333333333333333,3.1666666666666665,0,0,0
1,0,0,0,0,0,0,0,0,0,1,101.0,0,0,1,0,0,1,0,1,0,0,1,3,6.5,2,0,0,0,0,15000,1,1,0,1,0,0,0,0.6666666666666666,2.1666666666666665,0,0,0
1,0,0,0,0,0,0,0,0,0,1,4.0,1,1,1,0,0,0,0,0,0,0,0,2,2.0,2,0,0,0,0,350,0,0,1,0,0,0,0,1.0,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,2,158.0,0,0,1,0,0,0,1,1,0,0,1,3,11.5,2,0,0,0,1,0,0,0,0,0,0,0,0,0.6666666666666666,3.8333333333333335,0,0,1
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,1,0,0,0,0,0,0,1,1,1.0,1,0,0,0,0,15000,1,1,0,0,1,0,0,1.0,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,4,4.0,1,1,1,1,0,0,1,0,0,0,1,11,14.0,4,1,1,1,1,15000,1,1,0,0,1,0,1,0.36363636363636365,1.2727272727272727,1,0,0
1,1,0,1,1,0,1,0,0,0,2,6.0,1,1,1,1,0,0,1,1,1,0,1,5,11.5,4,1,1,0,0,15000,1,1,0,1,0,0,1,0.8,2.3,1,1,0
1,0,0,0,0,0,0,0,0,0,3,250.0,0,0,0,1,0,0,1,0,0,0,1,6,11.0,1,1,1,1,0,125,0,0,0,0,1,0,1,0.16666666666666666,1.8333333333333333,0,0,0
1,0,0,0,0,0,0,0,0,0,2,8.0,1,1,1,1,0,0,1,1,1,0,1,3,3.0,3,1,0,0,0,15000,1,1,1,1,0,0,1,1.0,1.0,1,0,0
1,0,0,0,0,0,0,0,0,0,2,35.0,0,1,1,1,0,1,1,1,0,0,1,4,9.0,4,0,0,1,1,15000,1,1,0,0,0,0,0,1.0,2.25,0,0,1
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,0,0,0,1,3,11.0,2,0,0,0,1,7500,1,1,2,1,0,0,0,0.6666666666666666,3.6666666666666665,0,0,0
1,0,2,2,0,1,1,1,0,0,1,250.0,0,0,0,0,0,0,1,1,0,0,1,3,14.5,2,1,1,0,0,125,0,0,2,1,0,0,1,0.6666666666666666,4.833333333333333,0,1,0
1,0,0,0,0,0,0,0,0,0,2,4.0,1,1,1,1,0,0,1,0,0,0,1,3,22.5,2,0,0,0,1,15000,1,1,0,0,0,0,1,0.6666666666666666,7.5,0,0,0
1,0,1,1,0,1,1,0,0,0,1,12.0,0,1,1,0,0,0,1,1,0,0,1,5,5.0,4,1,1,1,0,30,0,0,4,0,0,0,1,0.8,1.0,1,1,0
1,0,0,0,0,0,0,0,0,0,2,2.0,1,1,1,0,0,1,0,0,1,0,1,2,3.5,2,1,1,0,0,30,0,0,2,0,1,0,1,1.0,1.75,1,0,0
1,0,0,0,0,0,0,0,0,0,1,31.0,0,1,1,0,0,0,1,1,1,0,1,15,35.0,6,1,1,1,1,15000,1,1,5,0,0,0,1,0.4,2.3333333333333335,1,0,1
1,0,0,0,0,0,0,0,0,0,3,6.0,1,1,1,0,1,0,1,0,0,1,0,5,21.0,3,0,0,0,0,15000,1,1,1,1,0,0,1,0.6,4.2,0,0,0
1,0,0,0,0,0,0,0,0,0,2,23.0,0,1,1,0,0,1,1,0,1,0,1,6,15.5,4,1,1,1,1,15000,1,1,0,0,0,0,1,0.6666666666666666,2.5833333333333335,1,0,0
1,0,0,0,0,0,0,0,0,0,4,250.0,0,0,0,1,1,1,1,0,1,1,1,4,12.0,3,1,0,1,0,15000,1,1,0,0,0,0,0,0.75,3.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,3.0,1,1,1,0,0,0,0,0,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,2,28.0,0,1,1,1,0,0,1,1,0,0,1,4,5.5,2,0,0,0,0,15000,1,1,0,1,0,0,1,0.5,1.375,0,0,0
1,0,0,0,0,0,0,0,0,0,3,35.0,0,1,1,1,0,1,0,1,0,0,1,4,10.5,2,0,0,0,1,15000,1,1,0,1,0,0,1,0.5,2.625,0,0,1
1,0,0,0,0,0,0,0,0,0,2,26.0,0,1,1,0,0,0,1,0,0,0,0,1,1.0,1,0,1,0,0,1,0,0,1,1,0,0,0,1.0,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,3,6.0,1,1,1,1,0,1,1,0,1,1,1,4,5.5,1,1,1,1,1,7500,1,1,0,0,1,0,1,0.25,1.375,1,0,0
1,0,1,1,0,1,1,0,0,0,1,250.0,0,0,0,0,0,0,1,0,0,0,0,2,0.0,1,1,0,0,0,3000,1,0,0,0,0,0,0,0.5,0.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,192.0,0,0,1,0,0,0,0,1,0,0,1,15,28.0,4,0,1,0,1,15000,1,1,1,1,0,0,1,0.26666666666666666,1.8666666666666667,0,0,1
1,0,0,0,0,0,0,0,0,0,2,4.0,1,1,1,0,0,0,0,0,0,0,0,6,19.5,3,1,1,1,1,15000,1,1,0,0,0,0,0,0.5,3.25,1,0,0
1,0,0,0,0,0,0,0,0,0,2,6.0,1,1,1,0,1,0,1,0,0,1,0,3,3.0,2,0,1,0,0,750,0,0,1,1,0,0,0,0.6666666666666666,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,5,4.0,2,1,0,1,0,30,0,0,1,0,0,0,1,0.4,0.8,0,0,0
1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,1,0,0,0,1,0,0,0,1,5,9.5,4,1,1,1,0,15000,1,1,1,1,0,0,1,0.8,1.9,1,0,0
1,1,0,1,1,0,1,0,0,0,2,42.0,0,1,1,0,1,0,1,1,0,1,1,9,28.0,2,1,1,1,0,3000,1,0,2,1,0,0,0,0.2222222222222222,3.111111111111111,1,1,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,1,0,0,1,7,12.0,3,0,1,0,0,125,0,0,0,1,0,0,1,0.42857142857142855,1.7142857142857142,0,0,0
1,0,1,1,0,1,1,0,0,0,2,250.0,0,0,0,0,0,0,1,0,0,1,0,3,6.5,3,1,1,1,0,15000,1,1,1,1,0,0,1,1.0,2.1666666666666665,0,1,0
1,0,0,0,0,0,0,0,0,0,2,43.0,0,1,1,0,1,0,1,1,0,0,1,1,1.0,1,0,0,0,0,15000,1,1,0,0,0,0,0,1.0,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,0,0,1,0,3,12.5,1,0,1,0,0,125,0,0,2,0,0,0,1,0.3333333333333333,4.166666666666667,0,0,0
1,0,0,0,0,0,0,0,0,0,1,15.0,0,1,1,0,0,0,0,0,0,0,0,9,18.0,2,1,0,1,1,7500,1,1,2,0,1,0,1,0.2222222222222222,2.0,1,0,0
1,0,1,1,0,1,1,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.2,0.0,0,1,0
1,0,0,0,0,0,0,0,0,0,2,250.0,0,0,0,0,0,0,1,1,1,0,1,1,7.5,1,1,0,1,0,15000,1,1,0,0,0,0,0,1.0,7.5,0,0,0
1,0,0,0,0,0,0,0,0,0,1,119.0,0,0,1,0,0,0,1,1,0,0,1,10,34.0,2,1,0,1,1,7500,1,1,0,1,0,0,0,0.2,3.4,0,0,1
1,0,0,0,0,0,0,0,0,0,2,250.0,0,0,0,0,0,0,1,1,0,0,1,4,5.5,2,0,0,0,1,15000,1,1,1,1,0,0,0,0.5,1.375,0,0,1
1,0,1,1,0,1,1,0,0,0,3,11.0,0,1,1,1,1,0,1,0,0,1,1,5,13.0,2,1,1,1,0,15000,1,1,1,0,1,0,0,0.4,2.6,1,1,0
1,0,0,0,0,0,0,0,0,0,2,4.0,1,1,1,0,0,0,1,0,0,0,1,1,0.0,1,0,0,0,0,15000,1,1,0,0,1,0,1,1.0,0.0,0,0,0
1,0,0,0,0,0,0,0,0,0,2,250.0,0,0,0,0,0,0,0,0,0,1,0,7,10.0,3,1,1,1,0,350,0,0,2,0,0,0,0,0.42857142857142855,1.4285714285714286,0,0,0
1,0,0,0,0,0,0,0,0,0,2,250.0,0,0,0,1,0,0,0,0,1,0,1,8,19.0,3,1,1,1,1,15000,1,1,1,0,0,0,0,0.375,2.375,0,0,0
1,0,0,0,0,0,0,0,0,0,2,29.0,0,1,1,0,0,1,1,1,0,0,1,1,4.5,1,0,0,0,0,15000,1,1,0,1,0,0,1,1.0,4.5,0,0,0
1,0,0,0,0,0,0,0,0,0,3,1.0,1,1,1,0,1,0,1,0,0,1,0,3,3.0,3,0,0,1,0,15000,1,1,0,1,0,0,0,1.0,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,15.0,0,1,1,0,0,1,0,1,1,0,1,5,13.5,1,1,0,0,1,7500,1,1,0,1,0,0,1,0.2,2.7,1,0,1
1,0,0,0,0,0,0,0,0,0,2,250.0,0,0,0,0,1,0,1,0,1,1,1,5,6.5,2,1,0,1,1,15000,1,1,0,1,0,0,1,0.4,1.3,0,0,0
1,0,0,0,0,0,0,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,4,20.5,1,1,0,1,1,15000,1,1,0,0,0,0,0,0.25,5.125,0,0,0
1,0,0,0,0,0,0,0,0,0,1,15.0,0,1,1,0,0,0,0,0,0,0,0,8,27.5,3,1,0,1,0,15000,1,1,2,0,0,1,1,0.375,3.4375,1,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,0,0,0,0,1,5,16.5,2,0,1,0,1,15000,1,1,0,1,0,0,0,0.4,3.3,0,0,0
1,0,0,0,0,0,0,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,0,0,0,1,0,0,1,0,0,1,1,1.0,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,2,1.0,1,1,1,1,0,0,1,0,0,0,1,1,2.5,1,0,0,0,0,7500,1,1,0,0,0,0,0,1.0,2.5,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,0,0,1,0,8,14.5,5,1,1,1,0,15000,1,1,1,0,0,1,1,0.625,1.8125,0,0,0
1,0,0,0,0,0,0,0,0,0,3,1.0,1,1,1,0,0,0,1,0,0,0,0,2,10.0,2,0,0,0,0,15000,1,1,0,0,0,0,1,1.0,5.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,0,0,0,0,5,6.5,3,1,0,1,0,15000,1,1,1,0,0,0,0,0.6,1.3,0,0,0
1,0,0,0,0,0,0,0,0,0,2,6.0,1,1,1,0,0,1,1,0,1,0,1,3,3.0,3,0,0,0,0,7500,1,1,1,0,0,0,0,1.0,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,152.0,0,0,1,0,0,0,1,0,0,1,0,4,12.0,1,0,1,0,0,15000,1,1,1,0,0,1,1,0.25,3.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,119.0,0,0,1,0,0,0,1,1,0,0,1,4,13.0,1,1,0,1,1,7500,1,1,0,0,0,0,1,0.25,3.25,0,0,1
1,0,0,0,0,0,0,0,0,0,2,3.0,1,1,1,0,0,0,1,0,0,1,0,2,3.5,2,1,1,0,0,6,0,0,2,0,0,1,0,1.0,1.75,1,0,0
1,0,0,0,0,0,0,0,0,0,2,179.0,0,0,1,0,0,1,1,0,1,1,1,7,11.5,3,0,1,0,1,15000,1,1,0,1,0,0,0,0.42857142857142855,1.6428571428571428,0,0,0
1,0,0,0,0,0,0,0,0,0,1,66.0,0,0,1,0,0,0,1,0,0,1,0,4,4.0,3,0,0,1,0,3000,1,0,0,0,0,0,1,0.75,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,2,6.0,1,1,1,0,0,1,1,1,0,0,1,4,4.0,2,1,1,0,0,15000,1,1,1,1,0,0,1,0.5,1.0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,2,15.0,1,0,0,0,1,7500,1,1,0,1,0,0,0,0.5,7.5,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,1,0,0,1,3,8.0,2,1,1,0,1,7500,1,1,1,1,0,0,0,0.6666666666666666,2.6666666666666665,0,0,1
1,0,0,0,0,0,0,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,3,8.0,2,1,0,1,1,15000,1,1,0,1,0,0,1,0.6666666666666666,2.6666666666666665,0,0,0
1,0,0,0,0,0,0,0,0,0,2,250.0,0,0,0,0,1,0,1,0,0,1,0,7,15.5,2,1,1,1,1,15000,1,1,1,1,0,0,1,0.2857142857142857,2.2142857142857144,0,0,0
1,0,0,0,0,0,0,0,0,0,3,31.0,0,1,1,0,1,0,1,0,0,0,1,6,13.5,1,1,0,1,0,7500,1,1,0,0,1,0,1,0.16666666666666666,2.25,1,0,0
1,1,1,2,1,1,1,1,1,0,1,250.0,0,0,0,0,1,0,1,0,0,1,0,3,13.0,3,1,1,0,0,15000,1,1,1,0,0,1,1,1.0,4.333333333333333,0,1,0
1,0,2,2,0,1,1,1,0,0,3,79.0,0,0,1,0,0,0,1,0,0,0,1,6,8.5,1,1,1,1,0,750,0,0,0,0,1,0,1,0.16666666666666666,1.4166666666666667,0,1,0
1,0,0,0,0,0,0,0,0,0,1,53.0,0,0,1,0,0,0,1,1,0,0,1,2,5.5,1,0,0,0,0,3000,1,0,0,0,0,0,0,0.5,2.75,0,0,0
1,0,0,0,0,0,0,0,0,0,1,99.0,0,0,1,0,0,0,1,0,0,0,0,7,8.5,5,1,1,1,0,15000,1,1,3,1,0,0,0,0.7142857142857143,1.2142857142857142,0,0,0
1,0,0,0,0,0,0,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,1,0,1,0,0,30,0,0,1,0,0,0,1,1.0,2.5,0,0,0
1,0,0,0,0,0,0,0,0,0,1,84.0,0,0,1,0,0,0,1,0,0,1,0,6,32.5,1,0,0,1,1,15000,1,1,0,0,0,0,0,0.16666666666666666,5.416666666666667,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,0,0,0,0,0,9,20.5,4,1,1,0,0,15000,1,1,0,0,0,1,0,0.4444444444444444,2.2777777777777777,0,0,0
1,0,0,0,0,0,0,0,0,0,2,79.0,0,0,1,1,0,0,1,0,0,0,1,6,19.0,2,1,0,1,1,3000,1,0,0,0,0,0,1,0.3333333333333333,3.1666666666666665,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,0,0,0,0,0,3,12.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,4.166666666666667,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,0,0,1,0,8,20.5,4,1,0,1,1,125,0,0,0,0,0,0,1,0.5,2.5625,0,0,0
1,0,0,0,0,0,0,0,0,0,3,1.0,1,1,1,0,1,1,1,0,1,1,1,5,6.5,4,1,1,0,0,7500,1,1,2,1,0,0,1,0.8,1.3,1,0,0
1,0,0,0,0,0,0,0,0,0,2,1.0,1,1,1,0,1,0,1,0,0,0,0,4,7.5,3,0,0,0,0,15000,1,1,0,0,0,0,1,0.75,1.875,0,0,0
1,0,0,0,0,0,0,0,0,0,4,6.0,1,1,1,0,0,1,1,0,1,0,1,2,2.0,1,0,0,0,0,3000,1,0,0,1,0,0,0,0.5,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,0,1,0,1,8,27.5,2,1,1,1,0,15000,1,1,0,1,0,0,1,0.25,3.4375,0,0,0
1,0,0,0,0,0,0,0,0,0,2,101.0,0,0,1,0,0,1,0,1,1,0,1,5,13.0,2,0,0,0,1,15000,1,1,3,1,0,0,0,0.4,2.6,0,0,1
1,0,0,0,0,0,0,0,0,0,1,9.0,1,1,1,0,0,0,0,0,1,0,1,5,21.0,2,1,1,0,0,125,0,0,1,0,0,0,1,0.4,4.2,1,0,0
1,0,0,0,0,0,0,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,133.0,0,0,1,1,0,0,0,0,0,0,0,4,10.5,2,1,0,1,1,3000,1,0,1,0,0,0,1,0.5,2.625,0,0,0
1,0,0,0,0,0,0,0,0,0,2,23.0,0,1,1,0,1,1,1,0,0,0,0,3,4.5,3,0,1,0,1,3000,1,0,0,0,0,0,0,1.0,1.5,0,0,0
1,0,0,0,0,0,0,0,0,0,2,250.0,0,0,0,0,0,0,1,0,0,1,1,5,7.5,5,1,1,1,0,15000,1,1,1,1,0,0,0,1.0,1.5,0,0,0
1,0,0,0,0,0,0,0,0,0,2,250.0,0,0,0,0,0,1,0,0,1,0,1,4,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,147.0,0,0,1,0,0,0,1,1,0,1,1,6,14.5,3,1,1,1,1,30,0,0,2,1,0,0,0,0.5,2.4166666666666665,0,0,1
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,0,0,0,0,9,14.0,5,1,0,1,1,15000,1,1,3,0,0,0,1,0.5555555555555556,1.5555555555555556,0,0,0
1,0,0,0,0,0,0,0,0,0,3,8.0,1,1,1,1,0,0,1,1,0,0,1,3,8.5,2,0,0,0,0,15000,1,1,0,0,1,0,1,0.6666666666666666,2.8333333333333335,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,1,0,0,1,4,14.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.25,3.5,0,0,1
1,0,0,0,0,0,0,0,0,0,2,8.0,1,1,1,0,1,0,1,0,0,1,0,6,0.0,2,1,0,1,0,0,0,0,0,1,0,0,1,0.3333333333333333,0.0,1,0,0
1,0,0,0,0,0,0,0,0,0,1,152.0,0,0,1,0,0,0,1,1,0,0,1,4,4.0,1,0,1,0,0,15000,1,1,1,1,0,0,0,0.25,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,0,0,1,0,4,9.5,1,1,0,1,0,15000,1,1,0,0,0,1,1,0.25,2.375,0,0,0
1,0,0,0,0,0,0,0,0,0,3,6.0,1,1,1,0,1,0,1,0,0,1,0,1,2.5,1,0,0,0,0,15000,1,1,0,1,0,0,0,1.0,2.5,0,0,0
1,0,0,0,0,0,0,0,0,0,2,6.0,1,1,1,0,0,0,0,0,0,0,0,3,6.5,1,1,1,0,0,125,0,0,0,1,0,0,0,0.3333333333333333,2.1666666666666665,1,0,0
1,0,0,0,0,0,0,0,0,0,3,26.0,0,1,1,0,1,0,1,0,0,1,0,4,7.0,2,0,0,1,1,125,0,0,0,1,0,0,0,0.5,1.75,0,0,0
1,0,0,0,0,0,0,0,0,0,2,12.0,0,1,1,0,1,0,1,0,0,1,0,5,8.5,3,1,0,1,1,15000,1,1,0,0,0,0,0,0.6,1.7,1,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,1,0,0,1,0,3,3.0,2,0,1,0,0,30,0,0,2,1,0,0,1,0.6666666666666666,1.0,0,0,0
1,0,2,2,0,1,1,1,0,0,3,3.0,1,1,1,0,0,0,1,0,0,1,1,6,14.0,2,1,1,1,1,15000,1,1,1,0,1,0,0,0.3333333333333333,2.3333333333333335,1,1,0
1,0,0,0,0,0,0,0,0,0,2,31.0,0,1,1,1,0,0,1,1,1,0,1,5,5.0,3,1,0,0,1,15000,1,1,0,0,0,0,1,0.6,1.0,1,0,1
1,0,0,0,0,0,0,0,0,0,3,250.0,0,0,0,0,1,1,1,0,0,0,1,5,8.0,1,1,0,1,1,750,0,0,1,0,1,0,1,0.2,1.6,0,0,0
1,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,1,0,1,0,0,1,2,2.0,1,0,0,0,0,30,0,0,1,1,0,0,0,0.5,1.0,0,0,0
1,0,1,1,0,1,1,0,0,0,2,187.0,0,0,1,0,0,0,1,1,0,0,1,8,14.5,4,1,1,1,1,15000,1,1,0,1,0,0,1,0.5,1.8125,0,1,1
1,0,0,0,0,0,0,0,0,0,1,4.0,1,1,1,0,0,0,1,1,0,0,1,4,13.5,1,1,0,1,1,3000,1,0,0,0,0,0,0,0.25,3.375,1,0,1
1,0,0,0,0,0,0,0,0,0,2,119.0,0,0,1,0,0,0,0,0,0,1,1,11,14.0,6,0,0,0,1,750,0,0,1,1,0,0,1,0.5454545454545454,1.2727272727272727,0,0,0
1,0,0,0,0,0,0,0,0,0,3,6.0,1,1,1,1,0,1,1,0,1,0,1,3,4.5,3,1,1,1,0,15000,1,1,1,0,0,0,0,1.0,1.5,1,0,0
1,0,0,0,0,0,0,0,0,0,2,8.0,1,1,1,0,0,0,1,1,0,0,1,5,9.5,2,0,1,1,1,15000,1,1,0,1,0,0,1,0.4,1.9,0,0,1
1,0,0,0,0,0,0,0,0,0,3,130.0,0,0,1,0,1,1,1,1,1,0,1,10,11.5,6,0,0,0,1,15000,1,1,0,0,0,0,1,0.6,1.15,0,0,1
1,0,0,0,0,0,0,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,1,1,7500,1,1,0,1,0,0,1,1.0,0.0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.5,0,0,0
0,0,0,0,0,0,0,0,0,0,1,250.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
